daysSinceInfection1,county,state,state code,cases,deaths,avg rate of infection,avg rate of death,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
29,Mobile,Alabama,AL,594,23,20.48275862,0.793103448,413210,62.5,58.3,19%,,.,.,.,0.07,0.059,17,8.3,.,.
35,Tuscaloosa,Alabama,AL,132,0,3.771428571,0,209355,62.5,58.3,18%,,.,.,.,0.07,0.06,15,7.9,.,.
30,Coconino,Arizona,AZ,299,26,9.966666667,0.866666667,143476,58.2,13.6,16%,,2.3,.,.,0.07,0.063,.,.,.,.
82,Maricopa,Arizona,AZ,2264,64,27.6097561,0.780487805,4485414,58.2,13.6,14%,2.9,2.3,52,25,0.1,0.074,27,8.4,145,50
31,Navajo,Arizona,AZ,410,11,13.22580645,0.35483871,110924,58.2,13.6,21%,2.05,2.3,.,.,0.08,0.066,.,.,.,.
39,Pima,Arizona,AZ,760,37,19.48717949,0.948717949,1047279,58.2,13.6,15%,1.2,0.6,30,7,0.08,0.065,9,5,139,39
42,Pinal,Arizona,AZ,197,5,4.69047619,0.119047619,462789,58.2,13.6,16%,2.05,0.6,.,.,0.09,0.072,33,11.3,222,59
29,Yavapai,Arizona,AZ,68,1,2.344827586,0.034482759,235099,58.2,13.6,17%,2.05,0.6,.,.,0.07,0.061,.,.,.,.
33,Garland,Arkansas,AR,105,0,3.181818182,0,99386,60.3,50.6,19%,,.,.,.,.,.,16,8.8,.,.
47,Alameda,California,CA,1069,40,22.74468085,0.85106383,1671329,57.1,22.2,10%,5.6,1.7,48,15,0.1,0.072,19,9.4,.,.
